,en,de,en_idiom,en_task,existing_task
1053,This was a hot potato that everybody wanted to pass on to the next person in the hope that they would not have to hold it for too long .,"Er hatte es mit einem heißen Eisen zu tun , das jeder in der Hoffnung , es nicht zu lange in den Händen halten zu müssen , rasch an den Nächsten abgeben wollte .",to pass on,translate English to German: This was a hot potato that everybody wanted to pass on to the next person in the hope that they would not have to hold it for too long .,"<pad> Das war eine heiße Kartoffel, die jeder an die nächste Person weitergeben wollte, in der Hoffnung, dass sie sie nicht zu lange halten müssten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1054,"In that year , Charles de Gaulle beat Mitterrand to win the French presidential elections , and it was in that year that the first contraceptive pill was put on the market .","Das war das Jahr , in dem Charles de Gaulle gegen Mitterand die Präsidentenwahlen in Frankreich gewonnen hat , und das war das Jahr , als die erste Anti-Baby-Pille auf den Markt kam .",to beat it,"translate English to German: In that year , Charles de Gaulle beat Mitterrand to win the French presidential elections , and it was in that year that the first contraceptive pill was put on the market .","<pad> In diesem Jahr hat Charles de Gaulle Mitterrand geschlagen, um die französischen Präsidentschaftswahlen zu gewinnen. In diesem Jahr wurde die erste Verhütungspilze auf den Markt gebracht.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1055,"Even if the European Banking Association and the European Savings Banks Group recently agreed not to pass conversion costs on to their customers , we must watch that this promise is honoured .","Auch wenn sich der Bankenverband der Europäischen Union und die Vereinigung der Sparkassen unlängst dazu bekannten , die eigentlichen Umrechnungskosten ihren Kunden nicht in Rechnung zu stellen , wird man auf die Einhaltung dieser Zusage genau achten müssen .",to pass on,"translate English to German: Even if the European Banking Association and the European Savings Banks Group recently agreed not to pass conversion costs on to their customers , we must watch that this promise is honoured .","<pad> Selbst wenn die Europäische Bankenvereinigung und die Europäische Sparkassengruppe kürzlich vereinbart haben, die Umrechnungskosten nicht an ihre Kunden weiterzugeben, müssen wir darauf achten, dass dieses Versprechen eingehalten wird.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1056,I also asked President Bouteflika to pass on a message on our behalf to express our deepest sympathy to the victims ' families and loved-ones .,"Ich habe Präsident Bouteflika gebeten , in unserer aller Namen den Familien der Opfer und ihren Angehörigen unsere tiefempfundene Anteilnahme auszusprechen .",to pass on,translate English to German: I also asked President Bouteflika to pass on a message on our behalf to express our deepest sympathy to the victims ' families and loved-ones .,"<pad> Ich habe auch Präsident Bouteflika gebeten, in unserem Namen eine Botschaft zu übermitteln, um den Familien und Angehörigen der Opfer unser tiefstes Mitgefühl auszudrücken.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1057,"We shall pass that on to the President , but we are still at the stage of approving the Minutes .","Wir werden das an den Präsidenten weiterleiten , aber wir sind noch immer bei der Genehmigung des Protokolls .",to pass on,"translate English to German: We shall pass that on to the President , but we are still at the stage of approving the Minutes .","<pad> Das werden wir dem Präsidenten übermitteln, aber wir befinden uns noch im Stadium der Annahme des Protokolls.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1058,"Nothing else is really being done transparently , I must say !","Dazu möchte ich anmerken , dass diesbezüglich ansonsten nichts offengelegt wird .",i say !,"translate English to German: Nothing else is really being done transparently , I must say !","<pad> Nichts anderes geschieht wirklich transparent, muß ich sagen!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1059,Have a seat in one of the restaurants and have breakfast .,Ins Restaurant sitzen und erst einmal frühstücken .,have a seat .,translate English to German: Have a seat in one of the restaurants and have breakfast .,<pad> Genießen Sie einen Sitzplatz in einem der Restaurants und genießen Sie das Frühstück.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1060,For order processing and for customer relations purposes we store your data and pass it on to trustworthy partners in this context .,"Zur Bestellabwicklung , sowie zur Pflege der Kundenbeziehungen speichern wir Ihre Daten und übermitteln Sie in diesem Zusammenhang an vertrauenswürdige Partner .",to pass on,translate English to German: For order processing and for customer relations purposes we store your data and pass it on to trustworthy partners in this context .,<pad> Zur Auftragsverarbeitung und zum Kundenbeziehungszweck speichern wir Ihre Daten und geben sie in diesem Zusammenhang an vertrauenswürdige Partner weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1061,The South Africans are now in the driving seat and will need our help and support to pull things together in the coming weeks .,Die Südafrikaner haben die Zügel in der Hand und sind bei den Vorbereitungen in den kommenden Wochen auf unsere Hilfe und Unterstützung angewiesen .,to pull together,translate English to German: The South Africans are now in the driving seat and will need our help and support to pull things together in the coming weeks .,"<pad> Die südafrikanischen Bürger befinden sich jetzt in der Führungsrolle und werden unsere Hilfe und unsere Unterstützung brauchen, um die Dinge in den kommenden Wochen zusammenzubringen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1062,I shall ensure that they are fully informed and shall pass all the available information on to them immediately .,"Ich werde dafür sorgen , dass sie rundum informiert sein werden , und werde alle verfügbaren Informationen unverzüglich an sie weitergeben .",to pass on,translate English to German: I shall ensure that they are fully informed and shall pass all the available information on to them immediately .,"<pad> Ich werde sicherstellen, dass sie vollständig informiert sind und ihnen alle verfügbaren Informationen umgehend übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1063,"However , in this day and age I am astounded that the Commission believes that it knows best how retailers and shoe companies should run their businesses and how much they should be charging their customers .","Ich bin allerdings schon erstaunt , dass die Kommission heutzutage meint , am besten zu wissen , wie Einzelhändler und Schuhunternehmen ihr Geschäft führen und welche Preise sie ihren Kunden berechnen sollten .",in this day and age,"translate English to German: However , in this day and age I am astounded that the Commission believes that it knows best how retailers and shoe companies should run their businesses and how much they should be charging their customers .","<pad> Allerdings bin ich in der heutigen Zeit erstaunt darüber, dass die Kommission der Auffassung ist, dass sie am besten weiß, wie Einzelhändler und Schuhunternehmen ihre Geschäfte führen und wie viel sie ihre Kunden belasten sollten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1065,"How do we finance technology , which is of course often available , in such a way that it will be used to reduce greenhouse gas emissions ?","Wie finanziert man die oft ja vorhandene Technik , damit sie eingesetzt wird , um die Emission von Treibhausgasen zu verringern ?",to be a gas,"translate English to German: How do we finance technology , which is of course often available , in such a way that it will be used to reduce greenhouse gas emissions ?","<pad> Wie finanzieren wir die Technologie, die natürlich oft verfügbar ist, so, dass sie zur Reduzierung der Treibhausgasemissionen genutzt wird?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1066,Currently CDGK organizes its races on straight uphill grass tracks so the dogs can practice without the danger of senseless injuries and go to abroad for racing on sand racetracks .,Zur Zeit organisiert CGRCz seine Rennen auf einer geraden steigender Bahn und so kann man trainieren und ohne unnötigen Verletzungen sich vorbereiten und im Ausland auf Qualitätssandbahnen rennen .,to go to the dogs,translate English to German: Currently CDGK organizes its races on straight uphill grass tracks so the dogs can practice without the danger of senseless injuries and go to abroad for racing on sand racetracks .,"<pad> Derzeit organisiert CDGK Rennen auf geraden Grasstrecken, damit die Hunde ohne die Gefahr sinnloser Verletzungen üben können und ins Ausland fahren, um auf Sandrasenrennen zu rennen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1067,"A come bet is identical to a pass line bet , except it may be made on every throw once a point has been established .","Eine Kommt Wette ist mit einer Pass Linie Wette identisch . Der einzige Unterschied besteht darin , dass sie bei jedem Wurf gemacht werden kann , sobald ein Punkt erstellt wurde .",to pass on,"translate English to German: A come bet is identical to a pass line bet , except it may be made on every throw once a point has been established .","<pad> Eine Come-Wett ist identisch mit einer Pass Line-Wett, außer sie kann bei jedem Wurf gemacht werden, sobald ein Punkt festgelegt wurde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1068,This is especially important if you have secured a child in a child restraint system on the front-passenger seat .,Insbesondere wenn ein Kind in einer Kinder-Rückhalteeinrichtung auf diesem gesichert ist .,have a seat .,translate English to German: This is especially important if you have secured a child in a child restraint system on the front-passenger seat .,"<pad> Dies ist besonders wichtig, wenn Sie ein Kind in einer Kinder-Rückhalteeinrichtung am Beifahrersitz gesichert haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1069,"I really do mean what I say ! I may not agree with Mr Rothley , but I admire him nonetheless , because he has shown himself capable of coping with the most difficult circumstances , tight deadlines and pressures from all and sundry .","Zwar bin ich nicht einer Meinung mit ihm , aber das tut meiner Bewunderung für ihn keinen Abbruch , denn Herr Rothley hat unter äußerst ungünstigen Umständen , unter Zeitdruck und unter dem Druck verschiedener Seiten seine Arbeit zu tun gewußt .",i say !,"translate English to German: I really do mean what I say ! I may not agree with Mr Rothley , but I admire him nonetheless , because he has shown himself capable of coping with the most difficult circumstances , tight deadlines and pressures from all and sundry .","<pad> Ich sage wirklich, was ich sage : Ich mag Herrn Rothley nicht zustimmen, aber ich bewundere ihn trotzdem, denn er hat sich gezeigt, dass er in der Lage ist, mit den schwierigsten Umständen, den engen Fristen und dem Druck aller und aller fertig zu werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1070,"I think that we should remember these victims too , and thank these people for the incredible and useful work they did and pass on our condolences to their relatives , as well as addressing the reason that caused this catastrophe .","Ich meine , wir sollten auch dieser Opfer gedenken , wir sollten ihnen für ihre beispiellose und nützliche Arbeit danken und ihren Angehörigen unser Beileid übermitteln . Außerdem sollten wir dafür sorgen , daß die Ursachen dieser Katastrophe ermittelt werden .",to pass on,"translate English to German: I think that we should remember these victims too , and thank these people for the incredible and useful work they did and pass on our condolences to their relatives , as well as addressing the reason that caused this catastrophe .","<pad> Ich denke, wir sollten uns auch an diese Opfer erinnern und diesen Menschen für die unglaubliche und nützliche Arbeit danken, die sie geleistet haben, und unsere Beileidsbekundung an ihre Verwandten weitergeben, ebenso wie an den Grund, der diese Katastrophe verursacht hat.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1071,"He first encountered the tin whistle as a youth , and , before he knew it , found himself "" falling head over heels in love with that magical little pipe "" .","Seine erste musikalische Begegnung als Jugendlicher mit der irischen Musik hatte er mit einer Tinwhistle , und verliebte sich Hals über Kopf in das kleine Blechrohr .",head over heels,"translate English to German: He first encountered the tin whistle as a youth , and , before he knew it , found himself "" falling head over heels in love with that magical little pipe "" .","<pad> Er begegnete zum ersten Mal als Jugendlichen den Tinnel, und bevor er es kannte, fand er sich "" Kopf über Hüfte in Verliebtheit mit dieser magischen kleinen Pipe "".</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1072,"I would ask you , Commissioner , to pass this matter on to the competent services , otherwise I shall report it to the European Ombudsman .","Ich würde Sie bitten , Herr Kommissar , das an die zuständigen Stellen weiterzugeben , sonst werde ich das nämlich dem europäischen Ombudsmann vortragen .",to pass on,"translate English to German: I would ask you , Commissioner , to pass this matter on to the competent services , otherwise I shall report it to the European Ombudsman .","<pad> Ich bitte Sie, Herr Kommissar, diese Angelegenheit an die zuständigen Dienststellen weiterzugeben, sonst werde ich sie dem Europäischen Bürgerbeauftragten mitteilen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1073,"Naturally , I will pass on this concern to the Spanish Minister for Labour and Social Affairs to see whether , in a forthcoming sitting of the Social Affairs Council - which has still to meet before the Presidency draws to a close - we can deal with this issue once again .","Natürlich werde ich dem Minister für Arbeit und Soziales Spaniens diese Sorge übermitteln , um zu prüfen , ob auf einer der nächsten Tagungen des Rates ' Soziale Angelegenheiten ' - der noch vor dem Ende der Präsidentschaft zusammentritt - nochmals Nachdruck auf diese Frage gelegt werden kann .",to pass on,"translate English to German: Naturally , I will pass on this concern to the Spanish Minister for Labour and Social Affairs to see whether , in a forthcoming sitting of the Social Affairs Council - which has still to meet before the Presidency draws to a close - we can deal with this issue once again .","<pad> Selbstverständlich werde ich diese Besorgnis an den spanischen Minister für Arbeit und soziale Angelegenheiten weiterleiten, um zu sehen, ob wir in einer bevorstehenden Sitzung des Rates für soziale Angelegenheiten - die noch bevor die Präsidentschaft abgeschlossen ist - dieses Thema erneut behandeln können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
