,en,de,en_idiom,en_task,idiom_task
1418,"In a nutshell , the legislative proposal under discussion will not solve the problems inherent in incineration as a waste management method .","Kurzum : Mit dem zur Debatte stehenden Legislativvorschlag werden die Probleme , die die Verbrennung als Methode der Abfallentsorgung mit sich bringt , nicht gelöst .",in a nutshell,"translate English to German with idiom: In a nutshell , the legislative proposal under discussion will not solve the problems inherent in incineration as a waste management method .","<pad> Idiom: Kurz gesagt, der zur Diskussion stehende Legislativvorschlag wird die Probleme der Verbrennung als Methode der Abfallbewirtschaftung nicht lösen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1419,Local human rights organizations in Porgera claim that these fires are part of a strategy to clear people out of the way for the expansion of Barrick Gold 's Porgera mine .,"Menschenrechtsorganisationen in Porgera behaupten , dass diese Brände Teil einer Strategie sind , um die Menschen wegen der Erweiterung der Mine von Barrick Golds Porgera zu vertreiben .",to clear the way,translate English to German with idiom: Local human rights organizations in Porgera claim that these fires are part of a strategy to clear people out of the way for the expansion of Barrick Gold 's Porgera mine .,"<pad> idiom: Lokale Menschenrechtsorganisationen in Porgera behaupten, dass diese Brände Teil einer Strategie sind, die Menschen für die Ausweitung der Porgera-Mine von Barrick Gold aus dem Weg zu räumen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1420,"In a nutshell , this depends on a strong Europe , a goal also expressed in the motto of the European Council 's Hungarian Presidency .","Kurz gesagt , es hängt von einem starken Europa ab , ein Ziel , das sich auch im Motto des ungarischen Ratsvorsitzes wiederfindet .",in a nutshell,"translate English to German with idiom: In a nutshell , this depends on a strong Europe , a goal also expressed in the motto of the European Council 's Hungarian Presidency .","<pad> Idiom: Kurz gesagt hängt dies von einem starken Europa ab, ein Ziel, das auch im Motto des ungarischen Ratsvorsitzes des Europäischen Rates zum Ausdruck kommt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1421,I hear that you want the second objective I mentioned .,"Ich höre , dass Sie Zweiteres wollen .",i hear you .,translate English to German with idiom: I hear that you want the second objective I mentioned .,"<pad> Idiom: Ich höre, dass Sie das zweite Ziel, das ich erwähnt habe, wollen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1422,"Today , the draft on which we are called to pass judgment , in the form of the joint text resulting from the conciliation procedure between Parliament and the Commission , represents a very distinct regression on all the points we fought to improve .","Der Text , über den wir heute befinden sollen , stellt in der Form , wie er aus dem Vermittlungsverfahren zwischen Parlament und Kommission hervorgegangen ist , einen deutlichen Rückschritt in allen Punkten dar , um die wir gekämpft haben .",to pass on,"translate English to German with idiom: Today , the draft on which we are called to pass judgment , in the form of the joint text resulting from the conciliation procedure between Parliament and the Commission , represents a very distinct regression on all the points we fought to improve .","<pad> Idiom: Der Entwurf, auf den wir heute in Form des gemeinsamen Textes, der aus dem Vermittlungsverfahren zwischen Parlament und Kommission hervorgeht, zu urteilen sind, stellt heute einen sehr deutlichen Rückschritt in allen Punkten dar, um die wir uns bemüht haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1423,"Nevertheless , mistakes sometimes do happen in the heat of the moment and I would like to ask for your forbearance .",Trotzdem passieren im Eifer des Gefechts Fehler . Ich bitte um Nachsicht .,in the heat of the moment,"translate English to German with idiom: Nevertheless , mistakes sometimes do happen in the heat of the moment and I would like to ask for your forbearance .","<pad> Idiom: Dennoch treten manchmal Fehler in der Hitze des Augenblicks auf, und ich möchte Sie um Ihre Zurückhaltung bitten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1424,"Hydrogen is a colourless , odourless and tasteless gas only traces of which are to be found free in the atmosphere in an uncombined form .","Der Wasserstoff ist ein farb- , geruch- und geschmackloses Gas und kommt in der freien Natur ungebunden nur spurenweise vor .",to be a gas,"translate English to German with idiom: Hydrogen is a colourless , odourless and tasteless gas only traces of which are to be found free in the atmosphere in an uncombined form .","<pad> Idiom: Wasserstoff ist ein farbloses, geruchloses und geschmackloses Gas, von dem nur Spuren frei in der Atmosphäre in unkombinierter Form gefunden werden können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1425,"Commissioner , may I say ' more power to your elbow ! ' when you see the recalcitrant Member State in court , because we cannot have one Member State playing a different game from the others .","Herr Kommissar , ich wünsche Ihnen stärkere Ellenbogen , wenn Sie den widerspenstigen Mitgliedstaat vor Gericht wiedersehen , denn es kann nicht sein , dass ein Mitgliedstaat aus der Reihe tanzt .",i say !,"translate English to German with idiom: Commissioner , may I say ' more power to your elbow ! ' when you see the recalcitrant Member State in court , because we cannot have one Member State playing a different game from the others .","<pad> Herr Kommissar, darf ich sagen, wenn Sie den recalcitranten Mitgliedstaat vor Gericht sehen, denn es kann nicht sein, dass ein Mitgliedstaat ein anderes Spiel spielt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1426,We remain adamant about the fact that this Parliament is not a court of law and that it does not need to pass judgment on certain cases .,"Wir stehen auf dem Standpunkt , dass dieses Parlament kein Gericht ist , dass es kein Urteil über bestimmte Angelegenheiten zu fällen hat .",to pass on,translate English to German with idiom: We remain adamant about the fact that this Parliament is not a court of law and that it does not need to pass judgment on certain cases .,"<pad> Idiom: Wir halten weiterhin fest daran, dass dieses Parlament kein Gerichtshof ist und dass es in bestimmten Fällen kein Urteil fällen muss.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1427,We guarantee you that we will not pass on to any third parties any personal data which you have provided to us for the purposes of dealing with your enquiry or for marketing purposes .,"Wir versichern Ihnen , dass wir Ihre personenbezogenen Daten , die Sie uns zur Bearbeitung Ihrer Anfrage oder darüber hinaus gehend zu Werbezwecken überlassen , nicht an Dritte weitergeben werden .",to pass on,translate English to German with idiom: We guarantee you that we will not pass on to any third parties any personal data which you have provided to us for the purposes of dealing with your enquiry or for marketing purposes .,"<pad> idiom: Wir garantieren Ihnen, dass wir keine personenbezogenen Daten an Dritte weitergeben, die Sie uns zur Behandlung Ihrer Anfrage oder zu Marketingzwecken zur Verfügung gestellt haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1428,"In the middle of the screen you can see the picture to be geocoded , on the left side a small map with your route .","In der Mitte des Bildschirmes siehst du nun das Foto , das geocodiert werden soll , auf der linken Seite eine kleine Karte mit deiner Route . Clicke auf „ In den Verschiebe-Modus wechseln “ .",to be in the picture,"translate English to German with idiom: In the middle of the screen you can see the picture to be geocoded , on the left side a small map with your route .","<pad> Idiom: In der Mitte des Bildschirms sehen Sie das zu geokodierende Bild, auf der linken Seite eine kleine Karte mit Ihrer Route.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1429,"The building is situated in the middle of the block between 7th and 8th Avenues . ... Read More If all else fails , hail a yellow cab and tell them you want to go to West 23rd and 8th.The New York neighborhood called Chelsea takes its name from the estate of Captain Thomas Clarke , who retired to the then rural land after winning glory in the French and Indian Wars .","... mehr lesen Auf jeden Fall kommen Sie hin , wenn Sie ein New Yorker Taxi , ein Yellow Cab anhalten und sagen , Sie wollen nach West 23rd and 8th.Die New Yorker Nachbarschaft hat den schönen Namen Chelsea , der von dem Anwesen des Captain Thomas Clarke stammt , der sich hierher aufs Land , was es noch war , zurückgezogen hat , nachdem er in den Kämpfen gegen Frankreich und Indien Ruhm erntete .",to go west,"translate English to German with idiom: The building is situated in the middle of the block between 7th and 8th Avenues . ... Read More If all else fails , hail a yellow cab and tell them you want to go to West 23rd and 8th.The New York neighborhood called Chelsea takes its name from the estate of Captain Thomas Clarke , who retired to the then rural land after winning glory in the French and Indian Wars .",<pad> The building is situated in the middle of the block between 7th and 8th Avenues.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1430,"At 4 : 00 in the morning we took the msuic boxes and you see , that long one wouldn 't celebrate if one hadn 't fun ... Good entertainment , dance and many happy people - I say proudly : anyone liked it !","Eine Lifeband war auch dabei , die dann doch länger als geplant gespielt hatte und um 4 : 00 Uhr morgens bauten wir dann unsere Boxen und die Musik ab . Ich glaube , die Uhrzeit sagt alles ... Spaß , Tanz und viele liebe Menschen waren anwesend und ich möchte es mit viel Stolz sagen - es hat allen gefallen !",i say !,"translate English to German with idiom: At 4 : 00 in the morning we took the msuic boxes and you see , that long one wouldn 't celebrate if one hadn 't fun ... Good entertainment , dance and many happy people - I say proudly : anyone liked it !","<pad> idiom: Um 4 : 00 am Morgen nahmen wir die msuic Boxen und Sie sehen, dass lange man nicht feiern würde, wenn man nicht Spaß hätte... Gute Unterhaltung, Tanz und viele glückliche Leute - ich sage stolz : Jeder mag es!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1431,"Finally , I would point out that , in a week ' s time when we have the debate in the ACP-EU Joint Assembly in Nassau , I should very much like - if it is possible against the background of the questions I shall be answering - for us to discuss some of these themes there too and pass on some of the same messages which have characterised the present debate .","Abschließend möchte ich noch erwähnen , daß es in einer Woche in der Paritätischen Versammlung AKP-EU in Nassau eine Debatte geben wird und ich dort gerne - wenn die von mir zu beantwortenden Fragen das zulassen - einige der Botschaften weitergeben werde , die diese Debatte geprägt haben .",to pass on,"translate English to German with idiom: Finally , I would point out that , in a week ' s time when we have the debate in the ACP-EU Joint Assembly in Nassau , I should very much like - if it is possible against the background of the questions I shall be answering - for us to discuss some of these themes there too and pass on some of the same messages which have characterised the present debate .","<pad> Abschließend möchte ich darauf hinweisen, dass ich in einer Woche, in der wir die Debatte in der Paritätischen Versammlung AKP-EU in Nassau führen, gerne - wenn es vor dem Hintergrund der Fragen, die ich beantworten werde - auch einige dieser Themen diskutieren und einige derselben Botschaften weiterleiten möchte, die die gegenwärtige Debatte geprägt haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1432,"I would like to make it very clear that in no way has the Council stated its opposition to all Parliament ' s amendments , nor has it called upon the European Commission to come up with any new proposals .","Ich möchte in aller Deutlichkeit betonen , daß der Rat zu keinem Zeitpunkt erklärt hat , daß er alle Änderungsanträge des Parlaments ablehnt . Er hat die Kommission auch nicht um die Vorlage irgendwelcher neuen Vorschläge gebeten .",to clear the way,"translate English to German with idiom: I would like to make it very clear that in no way has the Council stated its opposition to all Parliament ' s amendments , nor has it called upon the European Commission to come up with any new proposals .","<pad> Idiom: Ich möchte ganz klar sagen, dass der Rat in keiner Weise seine Ablehnung aller <unk> nderungsanträge des Parlaments zum Ausdruck gebracht und die Europäische Kommission aufgefordert hat, neue Vorschläge vorzulegen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1433,Is the President-in-Office of the Council prepared to pass on this request ?,"Ist der amtierende Ratspräsident bereit , diese Forderung weiterzuleiten ?",to pass on,translate English to German with idiom: Is the President-in-Office of the Council prepared to pass on this request ?,"<pad> Ist der amtierende Ratspräsident bereit, diesen Antrag weiterzuleiten?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1434,"In this respect , the opportunity of the 50th anniversary that has just been mentioned should actually be taken to hold a democratic debate on the EU ’ s plans and projects to date , and thus also to enable a new start for the European Union .","Insofern sollte der fünfzigste Jahrestag , von dem vorhin gesprochen wurde , tatsächlich dazu genutzt werden , eine demokratische Aussprache über bisherige Planungen und Vorhaben der EU durchzuführen und damit auch einen Neuanfang für die Europäische Union zu ermöglichen .",to be on hold,"translate English to German with idiom: In this respect , the opportunity of the 50th anniversary that has just been mentioned should actually be taken to hold a democratic debate on the EU ’ s plans and projects to date , and thus also to enable a new start for the European Union .","<pad> Idiom: In dieser Hinsicht sollte die Gelegenheit des soeben erwähnten 50. Jahrestags genutzt werden, eine demokratische Debatte über die bisherigen Pläne und Projekte der EU durchzuführen und damit auch einen neuen Start für die Europäische Union zu ermöglichen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1435,"In a nutshell , I was negotiating with companies about partnerships , creating and selling new products , designing and implementing marketing campaigns , coaching and tracking three different teams with a total of 25 team members , speaking in front of student and corporate audiences , training new members , exchanging ideas and networking at international conferences while still attending my university courses .","Gemeinsam mit meinem Team entwarf und verkaufte ich neue Produkte , rief kreative Marketingkampagnen ins Leben , coachte und leitete drei verschiedene Teams mit insgesamt 25 Mitgliedern , sprach vor Studenten und Firmpartnern , trainierte neue Mitglieder , tauschte Ideen aus und knüpfte auf internationalen Konferenzen Kontakte . Und während alledem ging ich immer noch in die Uni .",in a nutshell,"translate English to German with idiom: In a nutshell , I was negotiating with companies about partnerships , creating and selling new products , designing and implementing marketing campaigns , coaching and tracking three different teams with a total of 25 team members , speaking in front of student and corporate audiences , training new members , exchanging ideas and networking at international conferences while still attending my university courses .","<pad> Idiom: Kurz gesagt, ich verhandelte mit Unternehmen über Partnerschaften, die Erstellung und den Verkauf neuer Produkte, die Entwicklung und Umsetzung von Marketingkampagnen, das Coaching und die Verfolgung von drei verschiedenen Teams mit insgesamt 25 Teammitgliedern, das Sprechen vor Studenten und Firmenpublikationen, die Ausbildung neuer Mitglieder, den Austausch von Ideen und die Vernetzung auf internationalen Konferenzen, während ich noch an meinen</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1436,That is the problem in a nutshell .,Das ist kurz gefasst das Problem .,in a nutshell,translate English to German with idiom: That is the problem in a nutshell .,<pad> Das ist kurz gesagt das Problem.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
