,en,de,en_idiom,en_task,existing_task_finetuned
1373,"Nevertheless , I think we must act to clear the way for the new technology , for its exploitation and utilisation of spectrum , and I hope that this proposal and this report will do just that .","Nichtsdestotrotz bin ich der Ansicht , dass wir handeln müssen , um den Weg für die neue Technologie , ihre Anwendung und die Frequenznutzung frei zu machen , und ich hoffe , dass dieser Vorschlag und dieser Bericht genau das tun werden .",to clear the way,"translate English to German: Nevertheless , I think we must act to clear the way for the new technology , for its exploitation and utilisation of spectrum , and I hope that this proposal and this report will do just that .","<pad> Dennoch denke ich, dass wir handeln müssen, um den Weg für die neue Technologie, für ihre Nutzung und Nutzung von Frequenzen freizumachen, und ich hoffe, dass dieser Vorschlag und diesen Bericht genau das tun werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1374,The die is cast .,Die Entscheidung ist gefallen .,the die is cast .,translate English to German: The die is cast .,<pad> Die Messe ist gesungen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1378,"I will pass on your comments to the President , Mr Kirkhope .","Ich werde diese Bemerkung der Parlamentspräsidentin übermitteln , Herr Kollege Kirkhope .",to pass on,"translate English to German: I will pass on your comments to the President , Mr Kirkhope .","<pad> Ich werde Ihre Bemerkungen dem Präsidenten, Herrn Kirkhope, übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1379,"Restricted by space and money , Frankfurt Zoo had to pass the status of a pioneer zoo on to parks with better possibilities of development .","Da der Wiederaufbau durch Geld- und Platzmangel beeinträchtigt wurde , musste Frankfurt den Status des Pionierzoos an Zoos mit besseren Entwicklungsmöglichkeiten abgeben .",to pass on,"translate English to German: Restricted by space and money , Frankfurt Zoo had to pass the status of a pioneer zoo on to parks with better possibilities of development .",<pad> Der Frankfurter Zoo musste den Status eines Pionierzoos auf einen Park mit besseren Entwicklungsmöglichkeiten übertragen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1380,We would be most interested to know whether the French Liberals approve of the Berlin conclusions in this respect .,Billigen die französischen Liberalen die Schlußfolgerungen von Berlin in diesem Punkt ? Das würden wir gern wissen .,to be in the know,translate English to German: We would be most interested to know whether the French Liberals approve of the Berlin conclusions in this respect .,"<pad> Es würde uns sehr interessieren, ob die französischen Liberalen die diesbezüglichen Schlussfolgerungen von Berlin billigen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1381,"Mr President , I do not know whether the procedure would be appropriate , but in Amendment No 3 , relating to paragraph 5 of Article 8 , there has been an error on presentation .","Herr Präsident , ich weiß nicht , ob das Verfahren das richtige ist , aber im Änderungsantrag Nummer 3 betreffend Absatz 5 von Artikel 8 ist bei seiner Einreichung ein Fehler aufgetreten .",to be in the know,"translate English to German: Mr President , I do not know whether the procedure would be appropriate , but in Amendment No 3 , relating to paragraph 5 of Article 8 , there has been an error on presentation .","<pad> Herr Präsident, ich weiß nicht, ob das Verfahren angemessen wäre, aber in <unk> nderungsantrag 3 zu Absatz 5 von Artikel 8 ist ein Fehler bei der Vorlage aufgetreten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1382,"Some time has passed since then , and we have been itching to raise the racing game bar again for quite a while .","Seitdem ist einige Zeit ins Land gegangen , und es hat uns schon länger in den Fingern gejuckt , die Stange für Rennspiele noch höher zu legen .",to raise the bar,"translate English to German: Some time has passed since then , and we have been itching to raise the racing game bar again for quite a while .","<pad> Seither ist es gewiss verstrichen, und wir haben uns schon eine Weile gewagt, die Rennspielbar wieder anzuheben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1383,"Under this , civil servants who pass on information to the media are afforded protection .","Dabei handelt es sich um den Schutz einzelner Angestellter , die Informationen an die Medien weitergeben .",to pass on,"translate English to German: Under this , civil servants who pass on information to the media are afforded protection .","<pad> So erhalten Verwaltungsbeamten, die Informationen an die Medien weitergeben, Schutz erhalten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1384,Agricultural policy also has long-term considerations and plans and this type of security is something we must pass on to agricultural undertakings .,"Die Agrarpolitik denkt und plant auch langfristig , diese Sicherheit müssen wir an die landwirtschaftlichen Betriebe weitergeben .",to pass on,translate English to German: Agricultural policy also has long-term considerations and plans and this type of security is something we must pass on to agricultural undertakings .,"<pad> Die Agrarpolitik hat auch langfristige Erwägungen und Pläne, und diese Art von Sicherheit müssen wir an die Agrarunternehmen weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1385,I know the North Koreans have asked for a liaison office to be opened in Brussels .,"Mir ist bekannt , daß die Nordkoreaner um die Einrichtung eines Verbindungsbüros in Brüssel gebeten haben .",to be in the know,translate English to German: I know the North Koreans have asked for a liaison office to be opened in Brussels .,"<pad> Ich weiß, daß die Nordkoreaner um die Eröffnung einer Verbindungsstelle in Brüssel gebeten haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1386,"In a nutshell , public health and consumer protection must be paramount to all other considerations for Europe 's agrifood sector .","Kurz gesagt , Volksgesundheit und Verbraucherschutz müssen auf dem europäischen landwirtschaftlichen Lebensmittelsektor Priorität gegenüber allen anderen Erwägungen haben .",in a nutshell,"translate English to German: In a nutshell , public health and consumer protection must be paramount to all other considerations for Europe 's agrifood sector .","<pad> Kurz gesagt, die öffentliche Gesundheit und der Verbraucherschutz müssen bei allen anderen Erwägungen für den europäischen Agrarnahrungssektor Vorrang haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1387,"To be honest , I didn 't know what to expect in the beginning .","Ehrlich gestanden wusste ich von Anfang an nicht , was zu erwarten war .",to be in the know,"translate English to German: To be honest , I didn 't know what to expect in the beginning .","<pad> Um ehrlich zu sein, ich wusste nicht, was ich am Anfang erwarten sollte.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1388,"International pressure must be maximised on the regime , including a commitment to hold those responsible for any atrocities in the coming days responsible before the International Criminal Court .","Der internationale Druck auf das Regime muss maximal verstärkt werden . Die internationale Gemeinschaft muss sich dafür einsetzen , dass diejenigen , die in den nächsten Tagen für jedwede Gräueltat verantwortlich sind , vor dem Internationalen Strafgerichtshof zur Verantwortung gezogen werden .",to be on hold,"translate English to German: International pressure must be maximised on the regime , including a commitment to hold those responsible for any atrocities in the coming days responsible before the International Criminal Court .","<pad> Der internationale Druck muss auf das Regime ausgeübt werden, einschließlich der Verpflichtung, diejenigen, die in den kommenden Tagen für alle Grausamkeiten vor dem Internationalen Strafgerichtshof verantwortlich gemacht werden, zu haften.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1389,The way to demonstrate that is by making a clear strategic choice this weekend in line with the rule of law and the Treaty in terms of the length of appointment .,"Deshalb sollte der Rat am kommenden Wochenende eine klare politische Entscheidung im Hinblick auf die Amtszeit des EZB-Präsidenten treffen , die in Einklang mit den bestehenden Gesetzen und dem Vertrag steht .",to clear the way,translate English to German: The way to demonstrate that is by making a clear strategic choice this weekend in line with the rule of law and the Treaty in terms of the length of appointment .,"<pad> Die Möglichkeit, das zu demonstrieren, besteht darin, dass wir am kommenden Wochenende eine klare strategische Entscheidung in Übereinstimmung mit der Rechtsstaatlichkeit und dem Vertrag hinsichtlich der Dauer der Ernennung treffen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1390,03.10.2009 17 : 14 [ Friedrichshafen ] There 're still small groups of nazis lurking in the streets . Only walk in groups and take care of yourself fellows !,"03.10.2009 17 : 14 [ Friedrichshafen ] Es sind noch Nazi-Grüppchen unterwegs die Stress suchen , lauft nur in Gruppen und passt auf euch auf !",take care !,translate English to German: 03.10.2009 17 : 14 [ Friedrichshafen ] There 're still small groups of nazis lurking in the streets . Only walk in groups and take care of yourself fellows !,<pad> 03.10.2009 17 : 14 [ Friedrichshafen ] Es lurkieren immer noch kleine Gruppen von Nazis in der Straße.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1392,"When visiting Zakynthos you will be spoilt for choice on what to do . Most people initially visit the island for the sun , sand and sea but there is so much more than that to discover .","Wenn Sie die zauberhafte Insel Zakynthos besuchen , haben Sie die Qual der Wahl , denn die Insel hat so Einiges zu bieten .",to be spoilt for choice,"translate English to German: When visiting Zakynthos you will be spoilt for choice on what to do . Most people initially visit the island for the sun , sand and sea but there is so much more than that to discover .","<pad> Wenn Sie Zakynthos besuchen, werden Sie verwöhnt sein, was zu tun ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1393,to go ) Adequate parking- places and garages are within spitting distance .,Gehzeit ) Ausreichend Parkplätze bzw. Parkgaragen sind in unmittelbarer Nähe .,to go places,translate English to German: to go ) Adequate parking- places and garages are within spitting distance .,<pad> zu gehen ) Zureichende Parkplätze und Garagen sind in der Nähe.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1394,"There is a discussion of how much of the burden to pass on to future generations . In this war , there was no such discussion .","Es gibt eine Diskussion darüber , wie hoch die Belastung für zukünftige Generationen sein wird . Bei diesem Krieg gab es jedoch keine derartige Diskussion .",to pass on,"translate English to German: There is a discussion of how much of the burden to pass on to future generations . In this war , there was no such discussion .","<pad> Es wird darüber diskutiert, wie viel die Lasten auf die künftigen Generationen abwälzen müssen, und in diesem Krieg gab es keine solche Diskussion.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1395,So I would like to make it clear that we can vote the same way .,"Ich möchte also klarstellen , daß wir gemeinsam abstimmen können .",to clear the way,translate English to German: So I would like to make it clear that we can vote the same way .,"<pad> Ich möchte daher klarstellen, daß wir in der gleichen Weise abstimmen können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1396,I must say that that takes a lot of swallowing !,"Ich muß schon sagen , da muß man ein wenig schlucken !",i say !,translate English to German: I must say that that takes a lot of swallowing !,"<pad> Das muß ich sagen, das erfordert viel Schlucken!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
