,en,de,en_task
1257,How can I pass on my comments to Easy-Forex ™ ?,Wie kann ich Easy-Forex ™ meine Kommentare mitteilen ?,translate English to German: How can I pass on my comments to Easy-Forex ™ ?
1258,"They have , through their trade union , acquired skills in order to pass them on to their pupils .","Sie haben sich mit Hilfe ihrer Gewerkschaft Kenntnisse angeeignet , um diese an ihre Schüler weiterzugeben .","translate English to German: They have , through their trade union , acquired skills in order to pass them on to their pupils ."
1259,"Therefore I pass my knowledge on to my daughters , since I know that has our breedery successors , which have the same love and passion for Tornjaks , which left the mountains , in order to come into our hearts and houses .","Deshalb gebe ich mein Wissen an meine Töchter weiter , da ich weiß , dass unsere Züchterei Nachfolger hat , welche die selbe Liebe und Leidenschaft zu Tornjaks , welche die Gebirge verließen um in unsere Herzen und Häuser zu kommen , haben .","translate English to German: Therefore I pass my knowledge on to my daughters , since I know that has our breedery successors , which have the same love and passion for Tornjaks , which left the mountains , in order to come into our hearts and houses ."
1260,"The difference with this specific episode was that it occurred unfortunately - or fortunately , because it gives us an opportunity to pull together and resolve this problem - on European territory .","Die Besonderheit dieses konkreten Ereignisses besteht darin , dass es unglücklicherweise - oder glücklicherweise , denn dies gibt uns die Gelegenheit , uns zusammenzuschließen und dieses Problem zu lösen - auf europäischem Gebiet stattfand .","translate English to German: The difference with this specific episode was that it occurred unfortunately - or fortunately , because it gives us an opportunity to pull together and resolve this problem - on European territory ."
1261,"Madam President , my colleague Mr Franz Fischler will join us and reply to those of you whom I shall not have the opportunity to hear .","Frau Präsidentin , mein Kollege Franz Fischler wird gleich hier sein und denjenigen antworten , die ich leider nicht hören konnte .","translate English to German: Madam President , my colleague Mr Franz Fischler will join us and reply to those of you whom I shall not have the opportunity to hear ."
1262,This is where the IFB team ’ s unsurpassed technical expertise and personal commitment come to the fore .,Zugute kommt dem IFB hierbei die äußerst hohe fachliche und persönliche Reputation seiner jeweiligen Experten .,translate English to German: This is where the IFB team ’ s unsurpassed technical expertise and personal commitment come to the fore .
1263,The user is not allowed t use / or copy and pass on this data according to law .,"Dem Nutzer ist es daher nicht gestattet , diese Daten über die vom Rechtsinhaber im Einzelfall gewährte Nutzung hinaus zu kopieren , zu bearbeiten und / oder weiterzuverbreiten .",translate English to German: The user is not allowed t use / or copy and pass on this data according to law .
1264,"I do not know what its legal implications are , but the Secretariat will look into it and , if necessary , pass it on to the most appropriate committee to examine how well-founded your observation is .","Ich weiß nicht , welche rechtlichen Auswirkungen sie hat , aber das Sekretariat wird sie prüfen und sie erforderlichenfalls dem geeignetsten Ausschuss übermitteln , damit dieser prüft , wie begründet ihr Kommentar ist .","translate English to German: I do not know what its legal implications are , but the Secretariat will look into it and , if necessary , pass it on to the most appropriate committee to examine how well-founded your observation is ."
1265,This is clear from the way the Union has reacted to Russia &apos;s bullying of Ukraine or Russia &apos;s invasion and occupation of sovereign Georgian territory last summer .,"Er wurde durch die Art und Weise deutlich , wie die Union auf die Schikanierung der Ukraine durch Russland oder die russische Invasion und Besetzung von souveränem georgischem Staatsgebiet letzten Sommer reagiert hat .",translate English to German: This is clear from the way the Union has reacted to Russia &apos;s bullying of Ukraine or Russia &apos;s invasion and occupation of sovereign Georgian territory last summer .
1267,"These final arrangements , however , appear to be the result of political reaction in the heat of the moment to the shipwreck of the Prestige .",Die jüngsten Regelungen scheinen jedoch das Ergebnis heftiger politischer Reaktionen auf die Havarie der Prestige zu sein .,"translate English to German: These final arrangements , however , appear to be the result of political reaction in the heat of the moment to the shipwreck of the Prestige ."
1268,"No , it is not ; the world will not wait for the EU , and so all our Member States must , for the United Nations ’ sake and for multilateralism ’ s sake , give the reform their backing , even though not all of them will be able to have a seat in September .","Die Welt wartet nicht auf die EU . Deshalb muss die Reform um der Vereinten Nationen willen und um des Multilateralismus willen von allen Mitgliedstaaten der Europäischen Union unterstützt werden , auch wenn nicht alle im September einen Sitz bekommen können .","translate English to German: No , it is not ; the world will not wait for the EU , and so all our Member States must , for the United Nations ’ sake and for multilateralism ’ s sake , give the reform their backing , even though not all of them will be able to have a seat in September ."
1269,to refuse a press pass on any grounds without reason .,die Vergabe eines Presseausweises ohne Angabe von Gründen zu verweigern .,translate English to German: to refuse a press pass on any grounds without reason .
1270,"8 And now it came to pass that the armies of the Lamanites , on the west sea , south , while in the absence of Moroni on account of some intrigue amongst the Nephites , which caused a dissensions amongst them , had gained some ground over the Nephites , yea , insomuch that they had obtained possession of a number of their cities in that part of the land .","8 Und nun begab es sich : Die Heere der Lamaniten hatten am westlichen Meer im Süden , während Moroni abwesend war , aufgrund irgendwelcher Machenschaften unter den Nephiten , wodurch Zwistigkeiten unter ihnen entstanden , gegen die Nephiten einigen Boden gewonnen , ja , so sehr , daß sie eine Anzahl ihrer Städte in jenem Teil des Landes in Besitz genommen hatten .","translate English to German: 8 And now it came to pass that the armies of the Lamanites , on the west sea , south , while in the absence of Moroni on account of some intrigue amongst the Nephites , which caused a dissensions amongst them , had gained some ground over the Nephites , yea , insomuch that they had obtained possession of a number of their cities in that part of the land ."
1271,"This is a bitter pill to swallow , but we have to face the facts pragmatically and without hypocrisy .","Diese bittere Pille gilt es zu schlucken , und wir müssen den Tatsachen pragmatisch und ohne uns etwas vorzumachen ins Auge blicken .","translate English to German: This is a bitter pill to swallow , but we have to face the facts pragmatically and without hypocrisy ."
1273,"Accession negotiations with Turkey had to begin , by hook or by crook , and despite the persistent reports about countless cases of torture , about taking away the freedom of opinion and assembly , about the state ’ s policy of denial of the Armenian genocide , about the permanent occupation of Northern Cyprus , it was inconsistent with the truth that Turkey meets the Copenhagen criteria .","Beitrittsverhandlungen mit der Türkei mussten mit allen Mitteln aufgenommen werden , und trotz der anhaltenden Meldungen über zahllose Folterungen , über die Einschränkung der Meinungs- und Versammlungsfreiheit , über das staatliche Leugnen des Völkermords an den Armeniern und über die fortdauernde Besatzung des nördlichen Teils von Zypern wurde wahrheitswidrig behauptet , die Türkei erfülle die Kriterien von Kopenhagen .","translate English to German: Accession negotiations with Turkey had to begin , by hook or by crook , and despite the persistent reports about countless cases of torture , about taking away the freedom of opinion and assembly , about the state ’ s policy of denial of the Armenian genocide , about the permanent occupation of Northern Cyprus , it was inconsistent with the truth that Turkey meets the Copenhagen criteria ."
1275,18 And it came to pass that the five were liberated on the day of the burial .,18 Und es begab sich : Die fünf wurden am Tag des Begräbnisses freigelassen .,translate English to German: 18 And it came to pass that the five were liberated on the day of the burial .
1276,Please feel invited to have a look around in our virtual exhibition . Enjoy !,"Wir laden Sie herzlich ein , sich in unserer virtuellen Ausstellung umzusehen , und wünschen Ihnen viel Spaß dabei .",translate English to German: Please feel invited to have a look around in our virtual exhibition . Enjoy !
1277,We explicitly state that we do not pass on any personal data to third parties unless we are required to do so by law or by you .,"Wir versichern Ihnen ausdrücklich , dass wir Ihre personenbezogenen Daten nicht an Dritte weitergeben ; es sei denn , dass wir hierzu aufgrund zwingender gesetzlicher Vorschriften verpflichtet sind oder dass Sie selbst bestimmen , Daten von Ihnen weiterzugeben .",translate English to German: We explicitly state that we do not pass on any personal data to third parties unless we are required to do so by law or by you .
1278,"Here you can experience Tyrol at its most beautiful . The pure , clear mountain air and our healthy climate are the natural way to revive body and soul .","Hier erleben Sie Tirol , wo es am schönsten ist : Die reine klare Luft und das gesunde Klima beleben Körper und Geist auf natürliche Art.","translate English to German: Here you can experience Tyrol at its most beautiful . The pure , clear mountain air and our healthy climate are the natural way to revive body and soul ."
1280,"In this day and age , we are dependent on many factors .",In Zeiten wie diesen hängen wir von zahlreichen Faktoren ab .,"translate English to German: In this day and age , we are dependent on many factors ."
1281,In no case will we pass your email address or contact information on to a third party except this third party operates on our behalf ( e.g. service provider ) .,"In keinem Fall werden wir Ihre E-Mail oder Kontaktinformationen an Dritte weitergeben , ausser diese handeln ( z.B. als Dienstleister ) in unserem Auftrag .",translate English to German: In no case will we pass your email address or contact information on to a third party except this third party operates on our behalf ( e.g. service provider ) .
1282,The Commission shares the views of the European Parliament regarding the comitology procedure and will pass on those views to the Council during the discussions to be held there .,Die Kommission teilt die Sichtweise des Europäischen Parlaments hinsichtlich der Ausschußverfahren und wird dem Rat im Laufe der sich daraus ergebenden Beratungen darüber berichten .,translate English to German: The Commission shares the views of the European Parliament regarding the comitology procedure and will pass on those views to the Council during the discussions to be held there .
1283,"In thanking the House for its attention , all I can say now is ‘ ship ahoy ! ’",Ich danke für die Aufmerksamkeit und kann nur sagen : Schiff ahoi !,"translate English to German: In thanking the House for its attention , all I can say now is ‘ ship ahoy ! ’"
1284,"The central square stands for a form created by human beings , while the circle represents nature . Both forms are closely interlocked .","Das zentrale Viereck symbolisiert eine vom Menschen geschaffene Form , während der Kreis die Natur darstellt ; beide Formen greifen eng ineinander .","translate English to German: The central square stands for a form created by human beings , while the circle represents nature . Both forms are closely interlocked ."
1285,Their innovative capacity and their creativity are simply not able to come to the fore in the real world .,Die Innovativität und die Kreativität werden in keiner Weise der Realität gerecht .,translate English to German: Their innovative capacity and their creativity are simply not able to come to the fore in the real world .
1287,I am very much in favour of Parliament putting pressure on the Council to promote the idea that the EU should have a permanent seat on the United Nations Security Council .,"Ich bin sehr dafür , dass das Parlament Druck auf den Rat ausübt , um den Gedanken eines ständigen Sitzes der EU im Sicherheitsrat der Vereinten Nationen voranzubringen .",translate English to German: I am very much in favour of Parliament putting pressure on the Council to promote the idea that the EU should have a permanent seat on the United Nations Security Council .
1288,"Mr President , Mr Blair , ladies and gentlemen , the informal meeting at Hampton Court will , I hope , be an opportunity to hold a genuine debate on the economic and social challenges confronting Europe .","Der informelle Gipfel von Hampton Court wird , wie ich hoffe , Gelegenheit für eine wirkliche Diskussion über die wirtschaftlichen und sozialen Herausforderungen , mit denen Europa konfrontiert ist , bieten .","translate English to German: Mr President , Mr Blair , ladies and gentlemen , the informal meeting at Hampton Court will , I hope , be an opportunity to hold a genuine debate on the economic and social challenges confronting Europe ."
1289,Weather - You &apos;d like to know how the weather in your travel destination will be ?,"Sie möchten wissen , wie das Wetter an Ihrem Reiseziel wird ?",translate English to German: Weather - You &apos;d like to know how the weather in your travel destination will be ?
1290,The one sure way to achieve this is to send a clear message to those who are guilty of crimes against humanity that they will be brought to justice for their evil deeds .,"Es gibt nur einen Weg , um dies zu erreichen : Wir müssen eine klare Botschaft an diejenigen aussenden , die Verbrechen gegen die Menschlichkeit begangen haben , und ihnen klarmachen , daß sie für ihre Vergehen bestraft werden .",translate English to German: The one sure way to achieve this is to send a clear message to those who are guilty of crimes against humanity that they will be brought to justice for their evil deeds .
1291,"That is the perfect way to clear up questions such as : what gaps in the legislation are there in an internal market for health services that is , in fact , not a real internal market at all ?","Das ist der ideale Ansatz , um Fragen zu klären wie : Welche Gesetzeslücken haben wir in einem Binnenmarkt der Gesundheit , der gar kein echter Binnenmarkt ist ?","translate English to German: That is the perfect way to clear up questions such as : what gaps in the legislation are there in an internal market for health services that is , in fact , not a real internal market at all ?"
1292,"The international trend goes from the merely energetic assessment of a building ( like with the energy pass ) to a more comprehensive building assessment ( on the basis of ecological , financial and social sustainability criteria ) .","Der internationale Trend geht von einer rein energetischen Einstufung eines Gebäudes ( wie sie durch den Energieausweis erfolgt ) hin zu einer umfassenderen Gebäudebewertung ( nach ökologischen , ökonomischen und sozialen Nachhaltigkeits-Kriterien ) .","translate English to German: The international trend goes from the merely energetic assessment of a building ( like with the energy pass ) to a more comprehensive building assessment ( on the basis of ecological , financial and social sustainability criteria ) ."
1293,"You will pass on to your successor an assembly which , in the past two and a half years , has successfully demonstrated that it is a reliable and competent partner and which assumed its role as co-legislator with responsibility and authority , be it when finding a compromise on the Services Directive or when the institutions negotiated the important agreement on new chemicals legislation .","Sie übergeben Ihrem Nachfolger eine Institution , die in den vergangenen zweieinhalb Jahren erfolgreich bewiesen hat , dass sie ein zuverlässiger und kompetenter Partner ist , der seiner Rolle als Mitgesetzgeber mit Verantwortungsbewusstsein und Sachverstand nachkam , sei es bei der Suche nach einem Kompromiss zur Dienstleistungsrichtlinie oder bei den Verhandlungen der Organe über die wichtige Einigung zu den neuen Rechtsvorschriften für Chemikalien .","translate English to German: You will pass on to your successor an assembly which , in the past two and a half years , has successfully demonstrated that it is a reliable and competent partner and which assumed its role as co-legislator with responsibility and authority , be it when finding a compromise on the Services Directive or when the institutions negotiated the important agreement on new chemicals legislation ."
1294,"Plato thought that three conditions must be met in order for us to “ know ” something : the notion in question must actually be true ; we must believe it ( because if we do not believe something that is true , we can hardly claim that we know it ) ; and , most subtly , it must be justifiable – there must be reasons why we believe the notion to be true .","Plato meinte , dass dafür , dass wir etwas “ wissen ” können , drei Bedingungen erfüllt sein müssen : Die fragliche Annahme muss tatsächlich wahr sein ; wir müssen sie glauben ( denn wenn wir nicht glauben , dass etwas wahr ist , können wir kaum behaupten , dass wir es wissen ) ; und , als subtilste Bedingung , sie muss begründbar sein – wir müssen Gründe dafür haben , warum wir die Annahme für wahr halten .","translate English to German: Plato thought that three conditions must be met in order for us to “ know ” something : the notion in question must actually be true ; we must believe it ( because if we do not believe something that is true , we can hardly claim that we know it ) ; and , most subtly , it must be justifiable – there must be reasons why we believe the notion to be true ."
1295,As soon as the WTO takes its final decision - because in fact it has not yet happened - the Council will definitely hold - according to the applicable procedures - a debate on the consequences to be drawn from this final decision .,"Sobald innerhalb der WTO ein endgültiger Beschluß gefaßt wurde - der Ordnung halber sei gesagt , daß dies also noch nicht tatsächlich der Fall war - , wird der Rat ohne Zweifel gemäß den entsprechenden Verfahren über die Konsequenzen beraten , die aus einem solchen endgültigen Beschluß gezogen werden müssen .",translate English to German: As soon as the WTO takes its final decision - because in fact it has not yet happened - the Council will definitely hold - according to the applicable procedures - a debate on the consequences to be drawn from this final decision .
1296,Last night Commissioner van den Broek sounded as if he was suffering from Beatlemania : &apos; You don &apos;t know how lucky you are to be back in the USSR &apos; .,"Gestern abend erweckte Kommissar Van den Broek den Eindruck , er leide an Beatlemania : &quot; You don &apos; t know how lucky you are to be back in the USSR . &quot;",translate English to German: Last night Commissioner van den Broek sounded as if he was suffering from Beatlemania : &apos; You don &apos;t know how lucky you are to be back in the USSR &apos; .
1297,It will require good government and Dáil oversight to ensure our finances never again get out of hand .,"Eine gute Regierung und die Aufsicht des Dáil werden nötig sein , damit unsere Finanzen nie wieder aus dem Ruder geraten .",translate English to German: It will require good government and Dáil oversight to ensure our finances never again get out of hand .
1298,"If , on the one hand , you are saying that the amendment of the Financial Regulation and the rules associated with it is one of the most ambitious tasks involved in the reform of the Commission , then I have to say that you cannot be aiming very high !","Wenn Sie auf der einen Seite sagen , dass die Änderung der Haushaltsordnung und der entsprechenden Vorschriften eine der ambitioniertesten Aufgaben im Zusammenhang mit der Reform der Kommission sei , dann muss ich sagen , hängen Sie die Dinge schon sehr tief !","translate English to German: If , on the one hand , you are saying that the amendment of the Financial Regulation and the rules associated with it is one of the most ambitious tasks involved in the reform of the Commission , then I have to say that you cannot be aiming very high !"
1299,"Mr President , yes , I am replacing Mrs Sartori , who is in fact detained in Italy , and I pass on her full apologies because she was particularly keen to be present here today .","Herr Präsident , ja , ich vertrete Frau Sartori , die in der Tat in Italien verhindert ist , und ich übermittle ihre vollumfängliche Entschuldigung , da sie besonders interessiert daran war , heute hier anwesend zu sein .","translate English to German: Mr President , yes , I am replacing Mrs Sartori , who is in fact detained in Italy , and I pass on her full apologies because she was particularly keen to be present here today ."
1300,"I took a few photos , an Arctic fox appeared , I have to sit in front of the legs sawed this magical place , it is too ... I felt this feeling once , in June 2007 when in the night sky polar Adelie danced the aurora australis .","Scharen von Vögeln nehmen breiten sich über dem Meer an die Spitze des Kopfes zurück ... Ich machte ein paar Fotos , ein Polarfuchs erschien ich vor den Beinen sitzen gesägt diesem magischen Ort haben , ist es zu ... Ich fühlte mich dieses Gefühl einmal , im Juni 2007 , als in den Nachthimmel polaren Adelie tanzten die Aurora Australis .","translate English to German: I took a few photos , an Arctic fox appeared , I have to sit in front of the legs sawed this magical place , it is too ... I felt this feeling once , in June 2007 when in the night sky polar Adelie danced the aurora australis ."
1301,"It must also be said that the different facets of the European Union are , without a shadow of a doubt , very concerned , and are monitoring this situation very directly and very closely .","Es muss außerdem gesagt werden , dass die Europäische Union , ohne auch nur den Hauch eines Zweifels und hinsichtlich verschiedener Aspekte , beunruhigt ist und diese Situation sehr unmittelbar und sehr genau überwachen muss .","translate English to German: It must also be said that the different facets of the European Union are , without a shadow of a doubt , very concerned , and are monitoring this situation very directly and very closely ."
1302,"Participants will play the part of characters who were involved in the intrigues of the court of Pope Felix Vth , the antipope of Avignon . This is your chance to become a duke , a knight or the princess of Cyprus , a cook or a poisoner , just for a night !","Die Mitspieler schlüpfen in verschiedene Rollen und entwirren die Intrigen am Hofe des Antipapstes Felix V. Eine einmalige Gelegenheit , um sich eine Nacht lang in einen Grafen , einen Ritter , eine Prinzessin aus Zypern , einen Koch oder einen Giftmischer zu verwandeln .","translate English to German: Participants will play the part of characters who were involved in the intrigues of the court of Pope Felix Vth , the antipope of Avignon . This is your chance to become a duke , a knight or the princess of Cyprus , a cook or a poisoner , just for a night !"
1303,We also met and remained in contact with the MEPs who were present in Geneva during those days .,Wir trafen uns auch mit den an diesen Tagen in Genf weilenden Mitgliedern des Europäischen Parlaments und blieben mit ihnen in Kontakt .,translate English to German: We also met and remained in contact with the MEPs who were present in Geneva during those days .
1304,To pass on the responsibilities of this agency to delegations and agencies of the Commission in 2009 is a radical step .,Die Übertragung der Zuständigkeiten dieser Agentur auf die Kommissionsdelegationen und -büros im Jahr 2009 stellt einen einschneidenden Schritt dar .,translate English to German: To pass on the responsibilities of this agency to delegations and agencies of the Commission in 2009 is a radical step .
1305,TopDomizil Apartments – Make yourself at home !,TopDomizil Komfort-Apartments - Fühlen Sie sich wie Zuhause !,translate English to German: TopDomizil Apartments – Make yourself at home !
1306,... And then do not say that I did warn you !,"... Dann sage nicht , daß ich Sie warnen , getan !",translate English to German: ... And then do not say that I did warn you !
1307,"Our President will make sure that the official representatives of Angola are informed of this protest and will pass on the request which just been made to the President-in-Office of the Council , so that the Council and its President-in-Office also take some initiative in reaction to these unspeakable attacks .","Unsere Präsidentin wird diesen Protest an die offiziellen Vertreter Angolas weitergeben und die soeben erhobene Forderung dem Ratspräsidenten übermitteln , damit auch der Rat und sein turnusmäßiger Präsident auf diese unqualifizierten Anfeindungen reagieren können .","translate English to German: Our President will make sure that the official representatives of Angola are informed of this protest and will pass on the request which just been made to the President-in-Office of the Council , so that the Council and its President-in-Office also take some initiative in reaction to these unspeakable attacks ."
1308,"We all know that the number of runways and landing platforms would have to be reduced in order to have any chance of a break , a simple break in the saturation .","Wir alle wissen , daß die Zahl der Start- und Landebahnen sowie der Flughäfen verringert werden müßte , damit überhaupt die Chance besteht , die Überlastung eine Zeitlang einfach nur aufhalten zu können .","translate English to German: We all know that the number of runways and landing platforms would have to be reduced in order to have any chance of a break , a simple break in the saturation ."
1310,We need to know just how Dow Chemicals can close the door on what was one of the worst industrial disasters in this century .,"Wir müssen einfach wissen , warum Dow Chemical die Tür hinter einer der schlimmsten Industriekatastrophen des Jahrhunderts schließen darf .",translate English to German: We need to know just how Dow Chemicals can close the door on what was one of the worst industrial disasters in this century .
1311,We do want as part of the action plan to pull together that regional cooperation .,Als Teil des Aktionsplans möchten wir diese regionale Zusammenarbeit zusammenführen .,translate English to German: We do want as part of the action plan to pull together that regional cooperation .
1312,That is reason enough for us to be put in the picture .,"Also besteht Grund genug , uns auf dem laufenden zu halten .",translate English to German: That is reason enough for us to be put in the picture .
1313,The seat covers must have a special tear seam for sidebags .,Die Sitzbezüge müssen mit einer Sollreißnaht für Sidebags ausgestattet sein .,translate English to German: The seat covers must have a special tear seam for sidebags .
1315,I do not know if I might be permitted to concur in the praise accorded at the meeting here this evening to the chairman of Parliament &apos;s Committee on Agriculture and Rural Development .,"Ich weiß nicht , ob es mir gestattet ist , mich dem Lob anzuschließen , das dem Vorsitzenden des Landwirtschaftsausschusses heute Abend ausgesprochen worden ist .",translate English to German: I do not know if I might be permitted to concur in the praise accorded at the meeting here this evening to the chairman of Parliament &apos;s Committee on Agriculture and Rural Development .
1316,"I am taking note of this and will pass it on , at your request , to the Bureau and other competent Parliament bodies .",Ich nehme die Angelegenheit zur Kenntnis und werde sie Ihrem Wunsch entsprechend an das Präsidium und die anderen zuständigen Organe des Parlaments weiterleiten .,"translate English to German: I am taking note of this and will pass it on , at your request , to the Bureau and other competent Parliament bodies ."
1317,I would ask to you pass this protest on to the Bureau and the Conference of Presidents .,"Ich bitte Sie , diesen Protest an das Präsidium und an die Konferenz der Präsidenten weiterzuleiten .",translate English to German: I would ask to you pass this protest on to the Bureau and the Conference of Presidents .
1318,"I support the rapporteur &apos;s commitment to give clear indications for a way out of the crisis : taking concrete measures and initiatives focusing on the importance of the internal market , employment and the role of SMEs .","Ich unterstütze das Engagement der Berichterstatterin , klare Anzeichen für einen Weg aus der Krise aufzuzeigen : konkrete Maßnahmen und Initiativen , die sich auf die Bedeutung des Binnenmarktes , die Beschäftigung und die Rolle der KMU konzentrieren .","translate English to German: I support the rapporteur &apos;s commitment to give clear indications for a way out of the crisis : taking concrete measures and initiatives focusing on the importance of the internal market , employment and the role of SMEs ."
1319,"Mr President , Commissioner , the rapporteur had to do more than just square the circle or hit a nail on the head .","Herr Präsident , Frau Kommissarin ! Es war mehr als eine Quadratur des Kreises , die der Herr Berichterstatter zu lösen , und mehr als ein Ei des Kolumbus , das er zu finden hatte .","translate English to German: Mr President , Commissioner , the rapporteur had to do more than just square the circle or hit a nail on the head ."
1320,Individuals who require a basic understanding of the ITIL ® framework and want to know how this can be applied in an organization to improve the services and service management quality .,"Personen , die ein Basisverständnis des ITIL ® Frameworks benötigen und wissen wollen , wie dies zur Verbesserung der Services und Service Management Qualität in einer Organisation eingesetzt werden kann .",translate English to German: Individuals who require a basic understanding of the ITIL ® framework and want to know how this can be applied in an organization to improve the services and service management quality .
1321,"If you pass on a new assignment to us as a company or private individual , we will give you a proportionate commission in return .","Wenn Sie uns als Firma oder als Privatperson einen neuen Auftrag vermitteln , erhalten Sie als Gegenleistung eine angemessene Provision .","translate English to German: If you pass on a new assignment to us as a company or private individual , we will give you a proportionate commission in return ."
1322,"In a nutshell , Commissioner , the objective of this text is for us to fight unfailingly for solidarity and quality , and against shortages , trafficking , and all trafficking that women in particular can be victims of .","Kurz gesagt , Herr Kommissar , das mit diesem Text verfolgte Ziel besteht darin , gemeinsam konsequent für Solidarität , Qualität und gegen Knappheit , illegalen Handel und alle illegalen Geschäfte , denen insbesondere Frauen zum Opfer fallen können , zu kämpfen .","translate English to German: In a nutshell , Commissioner , the objective of this text is for us to fight unfailingly for solidarity and quality , and against shortages , trafficking , and all trafficking that women in particular can be victims of ."
1323,"But that should be the clear aim , with IMF assistance along the way to provide interim funding where necessary and political cover for governments obliged to take tough decisions on public spending and taxation .","Doch sollte dies das erklärte Ziel sein , wobei die Hilfe des IWF auf dem Weg dorthin bei Bedarf als Zwischenfinanzierung genutzt werden sollte und auch als politische Rückendeckung für Regierungen , die gezwungen sind , harte Entscheidungen bezüglich der öffentlichen Ausgaben und Steuern zu treffen .","translate English to German: But that should be the clear aim , with IMF assistance along the way to provide interim funding where necessary and political cover for governments obliged to take tough decisions on public spending and taxation ."
1324,It would be interesting to know whether there is in the agreement a point on legal protection and provision of lawyer services ?,"Es wäre interessant zu erfahren , ob der Vertrag einen Punkt in Bezug auf Rechtsschutz und die Bereitstellung der Dienste von Rechtsanwälten enthält .",translate English to German: It would be interesting to know whether there is in the agreement a point on legal protection and provision of lawyer services ?
1325,"In a nutshell , this is an attack on our world , the whole world , and on our international rule of law , and this is precisely what I should like to uphold .","Ich fasse dies im Kern als einen Angriff gegen unsere Welt auf , gegen die ganze Welt , sowie gegen unsere internationale Rechtsordnung , und gerade die möchte ich verteidigen .","translate English to German: In a nutshell , this is an attack on our world , the whole world , and on our international rule of law , and this is precisely what I should like to uphold ."
1327,"Short and sweet , Firefox uses less of your computer ’ s memory while it ’ s running .",Kurz und bündig : Firefox nutzt während der Benutzung weniger Hauptspeicher Ihres Computers .,"translate English to German: Short and sweet , Firefox uses less of your computer ’ s memory while it ’ s running ."
1328,"In a nutshell , it allows FreeBSD users to run a majority of the applications that are only distributed as Linux binaries . When compared to the vast number of native applications available for FreeBSD using the Ports Collection , these applications are in the minority .",Bei FreeBSD spielt die Verfügbarkeit des Quelltexts auch praktisch eine große Rolle : viele Anwender halten einen lokalen Quelltextbaum vor und synchronisieren ihn regelmäßig per CVSup -System über das Netz mit einem zentralen Quelltextarchiv ( Repository ) .,"translate English to German: In a nutshell , it allows FreeBSD users to run a majority of the applications that are only distributed as Linux binaries . When compared to the vast number of native applications available for FreeBSD using the Ports Collection , these applications are in the minority ."
1330,I did not hear this in your speech and you have disappointed me .,"Davon habe ich nichts gehört , und Sie haben mich enttäuscht .",translate English to German: I did not hear this in your speech and you have disappointed me .
1331,"Therefore , I do not feel able to pass judgment on him .","Daher fühle ich mich nicht in der Lage , über ihn zu urteilen .","translate English to German: Therefore , I do not feel able to pass judgment on him ."
1332,That is the social situation in a nutshell .,Das ist die soziale Bestandsaufnahme .,translate English to German: That is the social situation in a nutshell .
1333,"In this day and age , no one can rule out the possibility that abortion is an attack on innocent and defenceless human lives .","Niemand kann heute die Möglichkeit ausschließen , dass die Abtreibung ein Angriff auf unschuldiges und schutzloses menschliches Leben ist .","translate English to German: In this day and age , no one can rule out the possibility that abortion is an attack on innocent and defenceless human lives ."
1335,Students also use cybernetic classes of typing on computers ( ZAV ) and have chance to pass state exam in word processing and typing during the course .,Es wird ein kybernetischer Tippenunterricht für EDV benutzt . Während des Schulbesuches können die Schüler die Staatsprüfung in Textbearbeitung und PC -Tippen ablegen .,translate English to German: Students also use cybernetic classes of typing on computers ( ZAV ) and have chance to pass state exam in word processing and typing during the course .
1336,"If they do not find any , their duty is to pass on this information .","Sollten sie keine finden , sind sie verpflichtet , das mitzuteilen .","translate English to German: If they do not find any , their duty is to pass on this information ."
1337,I would appeal to the Commissioner at least to pass on my message to his colleagues and to Mr Hombach .,"Ich bitte den Herrn Kommissar , wenigstens diese Mitteilung an seine Kollegen und Herrn Hombach zu übermitteln .",translate English to German: I would appeal to the Commissioner at least to pass on my message to his colleagues and to Mr Hombach .
1339,"Mr President , it is not easy , especially for a Spanish person , to take an objective and dispassionate view of the Cuban problem , because Cuba has a place in the hearts of all Spanish people .","Herr Präsident , es ist nicht leicht , erst recht nicht für einen Spanier , das kubanische Problem objektiv und unparteiisch zu beurteilen , denn Kuba hat einen Platz im Herzen aller Spanier .","translate English to German: Mr President , it is not easy , especially for a Spanish person , to take an objective and dispassionate view of the Cuban problem , because Cuba has a place in the hearts of all Spanish people ."
1340,"First of all , I can assure you that I will pass these points on to my colleague , Mr van den Broek , who is responsible for this matter .","Zunächst möchte ich versichern , daß ich diese Punkte an meinen Kollegen , Kommissar van den Broek , der für dieses Thema zuständig ist , weiterleiten werde .","translate English to German: First of all , I can assure you that I will pass these points on to my colleague , Mr van den Broek , who is responsible for this matter ."
