,en,de,en_task,existing_task_with_suffix_translations
1126,"Mr President , I am prompted to say &apos; How cold it is ! &apos; This is the second report in which we take an interest in warming up people in our Community .","&quot; Was für eine Kälte ! &quot; , muss ich sagen , wenn ich feststelle , dass dies schon der zweite Bericht ist , in dem wir uns mit der Wärmeversorgung in unserer Gemeinschaft befassen .","translate English to German: Mr President , I am prompted to say &apos; How cold it is ! &apos; This is the second report in which we take an interest in warming up people in our Community .","<pad> Herr Präsident, ich bin motiviert, zu sagen, wie kalt es ist! Dieser zweite Bericht, in dem wir uns für die Erwärmung der Menschen in unserer Gemeinschaft ein großes Interesse haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1127,Important financial figures of Q-Cells in a nutshell .,Alle wichtigen Wirtschaftsdaten über Q-Cells in Kürze .,translate English to German: Important financial figures of Q-Cells in a nutshell .,"<pad> Kurz gesagt, wichtige Finanzdaten von Q-Cells.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1128,"If you want to pass your vacation on a beach with a camping site nearby , just get off the train somewhere between L &apos;Ile Rousse and Calvi , you can &apos;t do anything wrong .","Wer seinen Urlaub am Strand mit möglichst nahem Campingplatz verbringen will , der sollte das irgendwo zwischen Calvi und L &apos; Ile Rousse tun : einfach an einer der zahlreichen Stationen aus dem Zug aussteigen , man kann nichts verkehrt machen .","translate English to German: If you want to pass your vacation on a beach with a camping site nearby , just get off the train somewhere between L &apos;Ile Rousse and Calvi , you can &apos;t do anything wrong .","<pad> Wenn Sie einen Urlaub auf einem Strand mit einem Campingplatz in der Nähe verbringen wollen, fahren Sie einfach aus dem Zug irgendwo zwischen L &apos;Ile Rousse und Calvi.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1130,May I say to the Commission that this is quite enough structural change !,"Das , liebe Kommission , ist Strukturwandel genug !",translate English to German: May I say to the Commission that this is quite enough structural change !,"<pad> Ich darf der Kommission sagen, das ist ziemlich viel strukturelle Veränderungen!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1131,"For Latin American pragmatists , always fearful of Cuban fifth columnists , it offers a way to square the circle : encouraging change in Cuba without going too far .","Für die lateinamerikanischen Pragmatiker , die sich immer vor der fünften Kolonne in Kuba fürchteten , bietet sich damit eine Möglichkeit , die Quadratur des Kreises zu finden , nämlich einen Wandel in Kuba zu unterstützen , ohne damit zu weit zu gehen .","translate English to German: For Latin American pragmatists , always fearful of Cuban fifth columnists , it offers a way to square the circle : encouraging change in Cuba without going too far .","<pad> Für lateinamerikanische Pragmatiker, immer fürchtet kubanische Fünfkolumnisten, bietet sie eine Möglichkeit, den Kreis quadratisch zu machen : Er fördert den Wandel in Kuba, ohne zu weit zu gehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1133,« The scrap metal dealers sell the rocket pieces to China … where they make aluminum foil out of it .,"« Die Schrotthändler verkaufen die Raketenteile an China , wo Aluminiumfolie daraus gemacht wird .",translate English to German: « The scrap metal dealers sell the rocket pieces to China … where they make aluminum foil out of it .,<pad> « Die Hammerhändler verkaufen die Raketenteile an China... wo sie Aluminium-Folie aus ihr machen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1134,"Are they to play an important institutional role to resolve and pass decisions on important questions which have achieved little progress at other councils , or should they be developed into gimmicks with ever weaker and more toned down conclusions ?","Sollen sie eine wichtige institutionelle Rolle zur Lösung und Fassung von Beschlüssen zu wichtigen Fragen spielen , die in anderen Räten steckengeblieben sind , oder sollen sie sich zu einem großen Tamtam mit immer dürftigeren Ergebnissen und mäßigen Schlussfolgerungen entwickeln ?","translate English to German: Are they to play an important institutional role to resolve and pass decisions on important questions which have achieved little progress at other councils , or should they be developed into gimmicks with ever weaker and more toned down conclusions ?","<pad> Müssen sie eine wichtige institutionelle Rolle spielen, um wichtige Fragen zu lösen und zu beschließen, die in anderen Gremien kaum Fortschritte erzielt haben, oder sollten sie zu Grausamkeiten mit immer schwächeren und weniger ausgewogenen Schlussfolgerungen entwickelt werden?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1135,"However , I will pass on Mr Fabre-Aubrespy &apos;s comment to the President .",Auf jeden Fall werde ich dem Präsidium die Bemerkung von Herrn Fabre-Aubrespy übermitteln .,"translate English to German: However , I will pass on Mr Fabre-Aubrespy &apos;s comment to the President .",<pad> Ich werde jedoch die Bemerkung des Kollegen Fabre-Aubrespy an den Präsidenten weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1136,"It is very clear in the European Council that while we do not in any way seek to justify any of the acts , we have to try to understand them to see how we can cope with it – not by talking to people who are engaged in it , because they will not listen to anybody , but we have to understand and study the root causes .","Der Europäische Rat ist sich dessen bewusst , dass wir , während wir in keiner Weise irgendeine der Taten rechtfertigen wollen , sie versuchen müssen zu verstehen , um herauszufinden , wie wir damit umgehen können – nicht , indem wir mit den Menschen sprechen , die an ihnen beteiligt sind , da sie niemandem zuhören werden , sondern indem wir die tieferen Ursachen verstehen und untersuchen .","translate English to German: It is very clear in the European Council that while we do not in any way seek to justify any of the acts , we have to try to understand them to see how we can cope with it – not by talking to people who are engaged in it , because they will not listen to anybody , but we have to understand and study the root causes .","<pad> Es ist ganz klar, dass wir im Europäischen Rat zwar keine Handlungen rechtfertigen wollen, aber versuchen müssen, diese zu verstehen, damit wir uns dessen bewusst sind – nicht indem wir mit Leuten reden, die sich daran beteiligen, denn sie werden niemanden hören, sondern dass wir die Ursachen verstehen und analysieren müssen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1138,The risk shall pass to the customer on hand-over of the goods or at the time when the customer falls into delay with acceptance .,"Die Gefahr geht mit der Übergabe oder wenn der Besteller im Verzug der Annahme ist , auf den Besteller über .",translate English to German: The risk shall pass to the customer on hand-over of the goods or at the time when the customer falls into delay with acceptance .,<pad> Die Gefahr geht auf die Übergabe der Ware oder zum Zeitpunkt der Verzögerung mit Annahme an den Kunden weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1139,"In this regard , I am pleased to hear you say that you are working on a solution .","In diesem Sinne freue ich mich , dass Sie gesagt haben , Sie arbeiten an einer Antwort .","translate English to German: In this regard , I am pleased to hear you say that you are working on a solution .","<pad> In dieser Hinsicht freue ich mich zu hören, dass Sie sagen, dass Sie an einer Lösung arbeiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1140,"I think this issue is important , and we should raise it as often as possible until we are able to have a single seat for our work , hopefully in Brussels .","Ich halte dieses Thema für bedeutsam . Wir sollten es so oft es geht zur Sprache bringen , bis es uns möglich ist , an einem einzigen Sitz zu arbeiten , hoffentlich in Brüssel .","translate English to German: I think this issue is important , and we should raise it as often as possible until we are able to have a single seat for our work , hopefully in Brussels .","<pad> Ich halte dieses Thema für wichtig, und wir sollten das so oft ansprechen, bis wir einen einzigen Sitz für unsere Arbeit haben, hoffentlich in Brüssel.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1141,The floor is yours Mr Beazley .,"Sie haben das Wort , Herr Beazley .",translate English to German: The floor is yours Mr Beazley .,<pad> Das Wort hat Herr Beazley.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
1142,"New Year , new president : Interview with new CNE-President Stephen Pollard ... JNE 3.2 in a nutshell : What the new Journal for the New Europe brings you ... Goodbye , Milton : A tribute to Milton Friedman by Normann Barry ... Breeding ground for innovation : On a new book by Gerhard Schwarz and Ronald Clapham ...","Neues Jahr , neuer Präsident : Interview mit dem neuen CNE-Präsidenten Stephen Pollard ... JNE 3.2 kurzgefaßt : Zur neuen Ausgabe des Journal for the New Europe ... Goodbye , Milton : Normann Barrys Nachruf auf Milton Friedman ... Innovationshumus : Zum Buch von Gerhard Schwarz und Ronald Clapham ...","translate English to German: New Year , new president : Interview with new CNE-President Stephen Pollard ... JNE 3.2 in a nutshell : What the new Journal for the New Europe brings you ... Goodbye , Milton : A tribute to Milton Friedman by Normann Barry ... Breeding ground for innovation : On a new book by Gerhard Schwarz and Ronald Clapham ...","<pad> Neujahr, neuer Präsident : Interview mit neuem CNE-Präsident Stephen Pollard... JNE 3.2 kurz gefasst : Was bringt das neue Journal for the New Europe you... Goodbye, Milton : A tribute to Milton Friedman von Normann Barry... Breeding Ground for Innovation : On a new book by Gerhard Schwarz and Ronald Clapham...</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1143,"In our five Austrian lounges ( two Business Lounges , two Senator Lounges and an HON Circle Lounge ) you can relax , enjoy a snack , read the paper , do some work or recharge your batteries . The time till take-off flies by as our staff take care of all the check-in formalities on your behalf !","In den fünf Austrian Lounges ( zwei Business Lounges , zwei Senator Lounges und eine HON Circle Lounge ) können Sie sich erholen , einen frischen Imbiss nehmen , Zeitung lesen , arbeiten , Kraft tanken - und genz nebenbei checken unsere Mitarbeiter Sie ein .","translate English to German: In our five Austrian lounges ( two Business Lounges , two Senator Lounges and an HON Circle Lounge ) you can relax , enjoy a snack , read the paper , do some work or recharge your batteries . The time till take-off flies by as our staff take care of all the check-in formalities on your behalf !","<pad> In unseren fünf österreichischen Lounges ( zwei Business Lounges, zwei Senator Lounges und eine HON Circle Lounge ) können Sie sich erholen, einen Snack genießen, das Papier lesen, Arbeiten durchführen oder Ihre Batterien wieder aufladen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1144,"Please pass on our thanks to all concerned , especially Marco and Anna on the guided tours .","Bitte leiten Sie unseren Dank allen Beteiligten weiter , insbesondere Marco und Anna von der Tour .","translate English to German: Please pass on our thanks to all concerned , especially Marco and Anna on the guided tours .","<pad> Bitte übermitteln Sie allen Betreffenden unseren Dank, insbesondere Marco und Anna bei den Führungen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1145,"Unfortunately , this new requirement for new buildings will not help us with the 20-20-20 targets , especially because , increasingly , we realise that we need to be looking at at least a 30 % greenhouse gas emission reduction .","Leider wird uns diese neue Anforderung für neue Gebäude nicht bei den 20-20-20-Zielen helfen , besonders , weil wir zunehmend erkennen , dass wir eine Reduktion der Treibhausgasemissionen um mindestens 30 % in Betracht ziehen werden müssen .","translate English to German: Unfortunately , this new requirement for new buildings will not help us with the 20-20-20 targets , especially because , increasingly , we realise that we need to be looking at at least a 30 % greenhouse gas emission reduction .","<pad> Leider wird uns diese neue Forderung nach neuen Gebäuden uns nicht bei den 20-20-20-Zielen helfen, zumal wir zunehmend wissen, dass wir uns wenigstens eine Emissionsreduzierung von Treibhausgasen vornehmen müssen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1146,"The President-in-Office has come here to listen to what I have to say - or at least , I hope he has !","Der Ratspräsident ist angereist , um meine Ausführungen zu hören . Das hoffe ich zumindest !","translate English to German: The President-in-Office has come here to listen to what I have to say - or at least , I hope he has !","<pad> Der amtierende Ratspräsident ist hierhergekommen, um zuhören, was ich zu sagen haben - oder zumindest, ich hoffe, er ist!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1147,"16 Behold , it came to pass on the morrow that the multitude gathered themselves together , and they both saw and heard these children ; yea , even a babes did open their mouths and utter marvelous things ; and the things which they did utter were b forbidden that there should not any man write them .","16 siehe , es begab sich : Am nächsten Tag versammelte sich die Menge , und sie sahen und hörten diese Kinder ; ja , selbst a Säuglinge öffneten den Mund und redeten Wunderbares ; und es wurde verboten , daß jemand das niederschriebe , was sie redeten .","translate English to German: 16 Behold , it came to pass on the morrow that the multitude gathered themselves together , and they both saw and heard these children ; yea , even a babes did open their mouths and utter marvelous things ; and the things which they did utter were b forbidden that there should not any man write them .","<pad> 16 Siehe, es begab sich : Am nächsten Tag versammelte sich die Menge, und sie sahen und hörten diese Kinder ; ja, sogar die Babies öffneten ihren Mund und schlugen wunderbare Dinge ; und das, was sie schlugen, war a verboten, daß niemand sie schreiben sollte.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
1148,It is understandable that transit states want to pass more of the external costs of road transport on to users .,"Die Transitstaaten versuchen verständlicherweise , die externen Straßenverkehrskosten stärker auf die Nutzer zu übertragen , was verständlich ist .",translate English to German: It is understandable that transit states want to pass more of the external costs of road transport on to users .,"<pad> Es ist verständlich, dass Transitstaaten mehr der externen Kosten des Straßenverkehrs auf die Verbraucher umlegen wollen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
